Statement Date,Reading Date,Consumption (CCF),Days,Gallons Per Day
07/29/2024,07/23/2024,6,62,72
05/29/2024,05/22/2024,8,61,98
03/28/2024,03/22/2024,6,59,76
01/29/2024,01/23/2024,6,66,68
11/27/2023,11/18/2023,4,59,50
09/26/2023,09/20/2023,3,57,39
07/31/2023,07/25/2023,6,61,73
05/31/2023,05/25/2023,6,62,72
03/30/2023,03/24/2023,5,59,63
01/30/2023,01/24/2023,5,67,55
11/28/2022,11/18/2022,4,59,50
09/26/2022,09/20/2022,3,60,37
07/28/2022,07/22/2022,4,59,50
05/31/2022,05/24/2022,4,61,49
03/30/2022,03/24/2022,5,59,63
01/28/2022,01/24/2022,5,67,55
11/24/2021,11/18/2021,6,57,78
09/28/2021,09/22/2021,5,58,64